plant_genus_species,taxon,MF,abscission_num,barcode,herbarium,date,month,month_cat,day,year,doy,state,phenology,county,ch_leafremoved,skel,unknown.lesions,stippling,blotch.mine,serpentine.mine,leafminer.oviholes,leaf.galls,leaf.roller,sooty.mould,aphids,spidermites,softscaleinsects
clethra_alnifolia,asterid,F,1753,NA,AA,8/24/23,8,August,24,1923,236,Massachusetts,flowering,Essex,5,0,0,0,0,0,0,0,0,0,0,0,0
clethra_alnifolia,asterid,M,NA,NA,NEBC,9/20/36,9,September,20,1936,264,Massachusetts,not,Essex,0,0,0,0,0,0,0,0,0,0,0,0,0
clethra_alnifolia,asterid,M,NA,NA,NEBC,8/20/02,8,August,20,1902,232,Massachusetts,flowering,Middlesex,5,0,0,0,0,0,0,0,0,0,0,0,0
clethra_alnifolia,asterid,M,NA,NA,GRAY,8/1/43,8,August,1,1943,213,Massachusetts,not,Middlesex,2,0,0,0,0,0,0,0,0,0,0,0,0
clethra_alnifolia,asterid,M,14811,NA,NEBC,9/13/14,9,September,13,1914,256,Massachusetts,flowering,Middlesex,2,0,0,0,0,0,0,0,0,0,0,0,0
clethra_alnifolia,asterid,M,NA,NA,GRAY,8/10/12,8,August,10,1912,223,Massachusetts,flowering,Suffolk,1,0,0,0,0,0,0,0,0,0,0,0,0
clethra_alnifolia,asterid,M,20014,NA,AA,5/30/21,5,May,30,1921,150,Massachusetts,not,Suffolk,3,0,0,0,0,0,0,0,0,0,0,0,0
clethra_alnifolia,asterid,F,NA,NA,NEBC,9/3/12,9,September,3,1912,247,Massachusetts,flowering,Norfolk,0,0,0,0,0,0,0,0,0,0,0,0,0
clethra_alnifolia,asterid,M,NA,NA,NEBC,8/14/07,8,August,14,1907,226,Massachusetts,not,Norfolk,2,0,0,1,0,0,0,0,0,0,0,0,0
clethra_alnifolia,asterid,M,NA,NA,NEBC,6/26/26,6,June,26,1926,177,Massachusetts,not,Plymouth,5,0,2,0,0,0,0,0,0,0,0,0,0
clethra_alnifolia,asterid,M,NA,NA,NEBC,9/6/13,9,September,6,1913,249,Massachusetts,not,Plymouth,3,0,0,0,0,0,0,0,0,0,0,0,0
clethra_alnifolia,asterid,M,NA,NA,NEBC,9/15/23,9,September,15,1923,258,Massachusetts,not,Bristol,5,0,0,0,0,0,0,0,0,0,0,0,0
clethra_alnifolia,asterid,M,NA,NA,NEBC,9/16/16,9,September,16,1916,260,Massachusetts,not,Barnstable,4,0,0,0,0,0,0,0,0,0,0,0,0
clethra_alnifolia,asterid,M,18888,NA,NEBC,7/24/19,7,July,24,1919,205,Massachusetts,not,Barnstable,4,0,0,0,0,0,0,0,0,0,0,0,0
clethra_alnifolia,asterid,M,17240,NA,NEBC,8/27/18,8,August,27,1918,239,Massachusetts,flowering,Barnstable,5,0,0,0,0,0,0,0,0,0,0,0,0
clethra_alnifolia,asterid,M,17235,NA,NEBC,8/13/18,8,August,13,1918,225,Massachusetts,flowering,Barnstable,5,0,0,0,0,0,0,0,0,0,0,0,0
clethra_alnifolia,asterid,M,NA,NA,GRAY,8/24/27,8,August,24,1927,236,Massachusetts,flowering,Barnstable,3,0,0,0,0,0,0,0,0,0,0,0,0
clethra_alnifolia,asterid,M,19070,NA,AA,7/29/04,7,July,29,1904,211,Massachusetts,flowering,Barnstable,4,0,0,0,0,0,0,0,0,0,0,0,0
clethra_alnifolia,asterid,M,18887,NA,NEBC,7/22/19,7,July,22,1919,203,Massachusetts,not,Barnstable,0,0,0,0,0,0,0,0,0,0,0,0,0
clethra_alnifolia,asterid,M,18891,NA,NEBC,8/10/19,8,August,10,1919,222,Massachusetts,flowering,Barnstable,0,0,1,0,0,0,0,0,0,0,0,0,0
clethra_alnifolia,asterid,M,1751,NA,NEBC,6/30/16,6,June,30,1916,182,Massachusetts,not,Dukes,2,0,0,0,0,0,0,0,0,0,0,0,0
clethra_alnifolia,asterid,M,NA,NA,AA,8/4/25,8,August,4,1925,216,Massachusetts,not,Dukes,4,0,0,0,0,0,0,0,0,0,0,0,0
clethra_alnifolia,asterid,M,2882,NA,NEBC,8/30/27,8,August,30,1927,242,Massachusetts,flowering,Dukes,4,0,1,0,0,0,0,0,0,0,0,0,0
clethra_alnifolia,asterid,M,7453,NA,NEBC,8/3/11,8,August,3,1911,215,Massachusetts,not,Dukes,1,0,0,0,0,0,0,0,0,0,0,0,0
clethra_alnifolia,asterid,M,116,NA,GRAY,6/5/00,6,June,5,1900,157,Massachusetts,not ,Nantucket,1,0,0,0,0,0,0,0,0,0,0,0,0
clethra_alnifolia,asterid,M,55406,NA,NEBC,8/17/29,8,August,17,1929,229,Massachusetts,flowering,Worcester,2,0,0,0,0,0,0,0,0,0,0,0,0
clethra_alnifolia,asterid,M,15333,NA,NEBC,5/20/16,5,May,20,1916,141,Massachusetts,not,Worcester,1,0,0,0,0,0,0,0,0,0,0,0,0
clethra_alnifolia,asterid,M,28922,NA,NEBC,8/4/53,8,August,4,1953,216,Massachusetts,flowering,Worcester,0,0,0,0,0,0,0,0,0,0,0,0,0
clethra_alnifolia,asterid,M,2480,NA,NEBC,9/20/30,9,September,20,1930,263,Massachusetts,not,Worcester,3,0,0,0,0,0,0,0,0,0,0,0,0
clethra_alnifolia,asterid,M,31148,NA,NEBC,9/19/14,9,September,19,1914,262,Massachusetts,not,Worcester,4,0,0,0,0,0,0,0,0,0,0,0,0
clethra_alnifolia,asterid,M,728,NA,GRAY,8/24/29,8,August,24,1929,236,Massachusetts,flowering,Hampden,0,0,0,0,0,0,0,0,0,0,0,0,0
clethra_alnifolia,asterid,M,NA,NA,NEBC,6/10/22,6,June,10,1922,161,Rhode_Island,not,Providence,3,0,1,0,0,0,0,0,0,0,0,0,0
clethra_alnifolia,asterid,M,NA,NA,NEBC,5/30/11,5,May,30,1911,150,Rhode_Island,not,Providence,2,0,0,0,0,0,0,0,0,0,0,0,0
clethra_alnifolia,asterid,M,NA,NA,GRAY,9/27/03,9,September,27,1903,270,Rhode_Island,not,Newport,5,0,0,3,0,0,0,0,0,0,0,0,0
clethra_alnifolia,asterid,M,NA,NA,NEBC,8/31/19,8,August,31,1919,243,Rhode_Island,not,Newport,5,0,0,0,0,0,0,0,0,0,0,0,0
clethra_alnifolia,asterid,M,NA,NA,NEBC,8/9/16,8,August,9,1916,222,Connecticut,not,Newport,2,0,0,0,0,0,0,0,0,0,0,0,0
clethra_alnifolia,asterid,M,3525,NA,NEBC,8/19/14,8,August,19,1914,231,Connecticut,flowering,Windham,3,0,0,0,0,0,0,0,0,0,0,0,0
clethra_alnifolia,asterid,M,NA,NA,NEBC,8/24/26,8,August,24,1926,236,Connecticut,flowering,New_London,4,0,0,0,0,0,0,0,0,0,0,0,0
clethra_alnifolia,asterid,M,NA,NA,NEBC,9/1/58,9,September,1,1958,244,Connecticut,not,Hartford,1,0,0,0,0,0,0,0,0,0,0,0,0
