date,julian,tree.id,species,circuit,bcon,bbrk,fbud,fopn,fpst,sex,length,width,lfin,l75,l95,tip,comments
3/23/90,82,ACPE-01,ACPE,18,MS,0,NA,0,0,NA,0,0,0,0,0,0,NA
3/27/90,86,ACPE-01,ACPE,18,MS,0,NA,0,0,NA,0,0,0,0,0,0,NA
4/2/90,92,ACPE-01,ACPE,18,VS,0,NA,0,0,NA,0,0,0,0,0,0,NA
4/11/90,101,ACPE-01,ACPE,18,VS,0,NA,0,0,NA,0,0,0,0,0,0,NA
4/18/90,108,ACPE-01,ACPE,18,VS,0,NA,0,0,NA,0,0,0,0,0,0,NA
4/23/90,113,ACPE-01,ACPE,18,MS,0,NA,0,0,NA,0,0,0,0,0,0,NA
4/28/90,118,ACPE-01,ACPE,19,BB,20,NA,0,0,NA,0,0,0,0,0,0,NA
5/1/90,121,ACPE-01,ACPE,19,BB,55,NA,0,0,NA,1,0,0,0,0,0,NA
5/4/90,124,ACPE-01,ACPE,19,BB,92,NA,0,0,NA,5,0,0,0,0,0,NA
5/7/90,127,ACPE-01,ACPE,19,BB,100,NA,0,0,NA,6,0,45,0,0,0,NA
5/11/90,131,ACPE-01,ACPE,19,BB,100,NA,0,0,NA,8,7,40,0,0,0,NA
5/14/90,134,ACPE-01,ACPE,19,BB,100,NA,0,0,NA,11,0,54,0,0,0,NA
5/18/90,138,ACPE-01,ACPE,19,BB,100,BB,100,0,NA,15,0,63,45,0,0,NA
5/24/90,144,ACPE-01,ACPE,18,BB,100,BB,97,0,NA,16,0,80,45,0,0,NA
5/30/90,150,ACPE-01,ACPE,19,BB,100,BB,100,100,NA,19,0,80,80,0,0,NA
6/5/90,156,ACPE-01,ACPE,19,BB,100,BB,100,90,NA,22,0,80,80,0,0,NA
6/8/90,159,ACPE-01,ACPE,19,BB,100,NA,NA,100,NA,22,0,80,80,55,0,NA
6/12/90,163,ACPE-01,ACPE,19,BB,100,NA,NA,100,NA,23,0,80,80,35,0,NA
6/18/90,169,ACPE-01,ACPE,19,BB,100,NA,NA,100,NA,22,0,80,80,80,0,NA
6/22/90,173,ACPE-01,ACPE,19,BB,100,NA,NA,100,NA,22,0,92,80,92,0,NA
6/27/90,178,ACPE-01,ACPE,19,BB,100,NA,NA,100,NA,22,0,97,80,97,0,NA
7/2/90,183,ACPE-01,ACPE,19,BB,100,NA,NA,100,NA,22,0,100,80,100,0,NA
7/9/90,190,ACPE-01,ACPE,19,BB,100,NA,NA,100,NA,22,0,100,80,100,0,NA
3/21/91,80,ACPE-01,ACPE,19,MS,0,NA,0,0,NA,0,0,0,0,0,0,NA
3/28/91,87,ACPE-01,ACPE,19,MS,0,NA,0,0,NA,0,0,0,0,0,0,NA
4/2/91,92,ACPE-01,ACPE,19,MS,0,NA,0,0,NA,0,0,0,0,0,0,NA
4/5/91,95,ACPE-01,ACPE,19,MS,0,NA,0,0,NA,0,0,0,0,0,0,NA
