,to1820,to1840,to1860,to1880,to1900,to1920,to1940,to1960,to1980,to2000,to2016,after2016,
Baptisia tinctoria,0,1,3,6,26,47,18,15,9,5,0,0,14
Clethra alnifolia,0,0,2,8,25,48,37,16,9,6,4,0,19
Cuscuta gronovii,0,0,2,10,28,56,44,37,6,1,2,0,9
Epigaea repens,0,0,2,3,22,75,40,27,6,3,0,0,9
Galium triflorum,0,0,2,4,13,54,11,10,8,2,0,0,10
Gaylussacia baccata,0,0,1,3,26,83,52,29,17,2,3,0,22
Kalmia angustifolia,0,0,0,4,19,67,71,29,19,1,1,0,21
Lechea intermedia,0,0,0,7,24,31,16,27,5,4,1,0,10
Lespedeza capitata,0,0,3,7,28,72,20,30,9,2,3,0,14
Lespedeza hirta,0,0,0,2,5,34,9,11,4,3,0,0,7
Ludwigia palustris,0,1,0,5,24,28,20,32,11,7,0,0,18
Lycopus americanus,0,0,1,5,40,106,26,14,10,9,1,0,20
Lysimachia terrestris,0,1,2,5,28,58,28,15,13,7,1,0,21
Mentha arvensis,0,0,0,3,24,36,5,12,8,5,2,0,15
Polygala sanguinea,0,0,9,10,21,46,28,20,6,1,2,0,9
Triadenum virginicum,0,0,3,5,19,46,40,27,11,1,2,0,14
Vaccinium corymbosum,0,1,4,10,51,240,106,36,12,5,1,0,18
Vaccinium macrocarpon,0,0,3,10,30,52,27,12,15,7,0,0,22
Viola blanda,0,0,0,3,16,127,20,7,0,6,1,0,7
Viola cucullata,0,0,0,5,24,140,22,10,2,3,1,0,6
Viola pedata,0,0,3,7,29,55,29,13,3,1,1,0,5
Vitis labrusca,0,0,2,7,31,64,54,18,6,3,2,0,11
