,to1820,to1840,to1860,to1880,to1900,to1920,to1940,to1960,to1980,to2000,to2016,after2016,
Baptisia tinctoria,0,0,0,2,14,12,2,1,0,1,2,0,3
Clethra alnifolia,0,0,1,2,10,17,6,0,4,3,2,0,9
Cuscuta gronovii,0,0,1,0,5,11,9,2,1,0,0,0,1
Epigaea repens,0,0,0,0,3,10,5,4,0,0,0,0,0
Galium triflorum,0,0,2,1,0,1,2,2,0,0,0,0,0
Gaylussacia baccata,0,0,0,0,1,23,2,1,1,2,8,0,11
Kalmia angustifolia,0,0,0,0,4,16,4,1,1,3,4,0,8
Lechea intermedia,0,0,1,0,2,7,1,2,0,0,0,0,0
Lespedeza capitata,0,0,2,2,3,18,2,2,0,0,0,0,0
Lespedeza hirta,0,0,2,3,2,10,3,1,0,0,1,0,1
Ludwigia palustris,0,0,0,1,4,3,6,0,0,2,0,0,2
Lycopus americanus,0,0,1,3,7,12,5,2,2,1,0,0,3
Lysimachia terrestris,0,0,0,0,2,17,9,2,1,1,1,0,3
Mentha arvensis,0,0,0,1,10,5,2,0,2,0,1,0,3
Polygala sanguinea,0,0,1,2,22,22,9,3,2,2,0,0,4
Triadenum virginicum,0,0,0,0,1,14,9,1,0,1,1,0,2
Vaccinium corymbosum,0,0,2,2,7,41,23,4,0,2,10,0,12
Vaccinium macrocarpon,0,0,2,2,9,15,6,5,0,3,1,0,4
Viola blanda,0,0,1,0,6,19,4,1,0,1,0,0,1
Viola cucullata,0,0,2,2,12,18,9,0,0,0,1,0,1
Viola pedata,0,0,0,1,13,17,2,1,0,0,2,0,2
Vitis labrusca,0,0,2,4,4,25,7,0,0,1,2,0,3
