,to1820,to1840,to1860,to1880,to1900,to1920,to1940,to1960,to1980,to2000,to2016
Baptisia tinctoria,0,0,0,2,4,6,9,3,5,12,1
Clethra alnifolia,0,0,0,0,6,5,10,6,14,53,11
Cornus racemosa,0,0,0,0,6,8,5,3,11,16,3
Epigaea repens,0,0,0,0,2,7,4,2,3,10,5
Galium triflorum,0,0,0,0,5,6,9,5,2,42,0
Gaylussacia baccata,0,0,0,0,2,7,8,7,3,23,2
Kalmia angustifolia,0,0,0,0,3,11,11,4,5,18,4
Lechea intermedia,0,0,0,0,0,8,2,4,0,9,0
Lespedeza capitata,0,0,0,0,1,3,14,5,12,18,1
Lespedeza hirta,0,0,0,1,2,5,5,4,4,11,0
Ludwigia palustris,0,0,0,0,4,3,20,6,7,30,16
Lycopus americanus,0,0,0,1,4,5,8,3,11,12,3
Lysimachia terrestris,0,0,0,1,6,6,12,8,16,20,4
Mentha arvensis,0,0,0,1,9,14,20,6,13,16,4
Polygala sanguinea,0,0,0,0,5,9,15,8,18,31,1
Triadenum virginicum,0,0,0,1,2,1,8,5,15,34,3
Vaccinium macrocarpon,0,0,0,0,5,6,9,7,5,27,3
Viola blanda,0,0,0,0,9,19,14,9,5,34,5
Viola cucullata,0,0,0,0,2,21,13,11,9,32,5
Vitis labrusca,0,0,0,0,7,6,8,4,6,15,1
Acer negundo,0,0,0,1,4,6,4,0,6,12,8
Acer pensylvanicum,0,0,0,0,6,5,9,2,12,38,6
Actaea pachypoda,0,0,0,0,1,0,0,0,3,7,1
Actaea rubra,0,0,0,0,0,0,0,0,0,10,1
Agalinis paupercula,0,0,0,0,1,7,7,2,3,4,0
Alisma triviale,0,0,0,1,3,6,6,1,4,3,2
Amaranthus retroflexus,0,0,0,2,2,2,2,1,4,4,0
Ambrosia artemisiifolia,0,0,0,0,0,0,0,0,1,4,3
Amphicarpaea bracteata,0,0,0,0,0,0,0,1,17,10,2
Anemone quinquefolia,0,0,0,0,0,0,0,0,0,5,4
Apocynum androsaemifolium,0,0,0,1,10,10,9,5,6,12,1
Aralia hispida,0,0,0,0,4,10,5,2,6,6,0
Aralia nudicaulis,0,0,0,0,5,6,10,4,8,14,4
