,to1820,to1840,to1860,to1880,to1900,to1920,to1940,to1960,to1980,to2000,to2016,after2016,
Baptisia tinctoria,0,0,0,0,1,3,3,11,3,3,1,0,7
Clethra alnifolia,0,0,0,1,3,2,3,2,5,4,2,0,11
Cornus racemosa,0,0,0,1,0,7,23,15,1,0,1,0,2
Epigaea repens,0,0,0,0,0,3,19,19,3,1,0,0,4
Galium triflorum,0,0,0,1,0,0,1,0,2,0,0,0,2
Gaylussacia baccata,0,0,0,0,0,4,20,13,11,2,7,0,20
Kalmia angustifolia,0,0,0,1,1,4,42,19,7,2,2,0,11
Lechea intermedia,0,0,0,0,1,3,1,9,4,1,1,0,6
Lespedeza capitata,0,0,0,0,0,2,0,13,4,1,0,0,5
Lespedeza hirta,0,0,0,0,0,3,2,9,1,1,0,0,2
Ludwigia palustris,0,0,0,0,0,3,8,29,7,4,0,0,11
Lycopus americanus,0,0,0,0,0,1,1,1,3,2,0,0,5
Lysimachia terrestris,0,0,0,1,1,7,10,0,6,5,1,0,12
Mentha arvensis,0,0,0,0,5,2,0,3,1,1,1,0,3
Polygala sanguinea,0,0,0,1,1,7,5,2,1,1,1,0,3
Triadenum virginicum,0,0,0,0,0,4,18,21,5,0,1,0,6
Vaccinium macrocarpon,0,0,0,1,0,3,3,3,10,4,0,0,14
Viola blanda,0,0,0,0,2,2,2,1,0,2,0,0,2
Viola cucullata,0,0,0,0,2,4,1,4,1,0,1,0,2
Vitis labrusca,0,0,0,1,0,8,32,8,3,1,2,0,6
Acer negundo,0,0,0,0,0,0,2,1,1,0,1,0,
Acer pensylvanicum,0,0,0,0,0,3,9,1,7,0,1,0,
Actaea pachypoda,0,0,0,0,0,0,0,0,0,0,1,0,
Agalinis paupercula,0,0,0,0,0,4,6,0,0,0,0,0,
Amaranthus retroflexus,0,0,0,0,0,1,1,0,0,0,0,0,
Ambrosia artemisiifolia,0,0,0,0,0,0,0,0,0,0,1,0,
Amphicarpaea bracteata,0,0,0,0,0,3,0,1,1,0,0,0,
Anemone quinquefolia,0,0,0,0,0,0,0,0,0,0,4,0,
Apocynum androsaemifolium,0,0,0,0,0,2,6,0,1,0,1,0,
